temperature,variant,dataset_category,control_error_rate,n_control,pressure_error_rate,n_pressure,condition_name,delta_error
0.2,instruct,knowledge,0.6585365853658537,41,0.72,50,asch_history_5,0.061463414634146285
0.2,instruct,math,0.48936170212765956,94,0.5531914893617021,94,asch_history_5,0.06382978723404259
0.2,instruct,opinion,0.6304347826086957,46,0.78,50,asch_history_5,0.14956521739130435
0.2,instruct,reasoning,0.44680851063829785,47,0.62,50,asch_history_5,0.17319148936170214
0.2,instruct,science,0.6444444444444445,45,0.5625,48,asch_history_5,-0.08194444444444449
0.2,instruct,truthfulness,0.5510204081632653,49,0.42,50,asch_history_5,-0.13102040816326527
0.2,instruct_sft,general,0.6666666666666666,45,0.8775510204081632,49,asch_history_5,0.2108843537414966
0.2,instruct_sft,knowledge,0.717391304347826,46,0.8125,48,asch_history_5,0.09510869565217395
0.2,instruct_sft,math,0.4631578947368421,95,0.6597938144329897,97,asch_history_5,0.19663591969614758
0.2,instruct_sft,opinion,0.6888888888888889,45,0.9166666666666666,48,asch_history_5,0.22777777777777775
0.2,instruct_sft,reasoning,0.6122448979591837,49,0.7872340425531915,47,asch_history_5,0.17498914459400783
0.2,instruct_sft,science,0.5102040816326531,49,0.875,48,asch_history_5,0.3647959183673469
0.2,instruct_sft,truthfulness,0.4897959183673469,49,0.86,50,asch_history_5,0.37020408163265306
0.2,instruct_dpo,general,0.6458333333333334,48,0.72,50,asch_history_5,0.0741666666666666
0.2,instruct_dpo,knowledge,0.5957446808510638,47,0.6,50,asch_history_5,0.004255319148936176
0.2,instruct_dpo,math,0.4777777777777778,90,0.6421052631578947,95,asch_history_5,0.16432748538011693
0.2,instruct_dpo,opinion,0.5869565217391305,46,0.66,50,asch_history_5,0.07304347826086954
0.2,instruct_dpo,reasoning,0.5208333333333334,48,0.54,50,asch_history_5,0.019166666666666665
0.2,instruct_dpo,science,0.5531914893617021,47,0.48,50,asch_history_5,-0.07319148936170217
0.2,instruct_dpo,truthfulness,0.5957446808510638,47,0.54,50,asch_history_5,-0.055744680851063766
0.2,think,general,0.3404255319148936,47,0.6530612244897959,49,asch_history_5,0.31263569257490226
0.2,think,knowledge,0.2708333333333333,48,0.5918367346938775,49,asch_history_5,0.3210034013605442
0.2,think,math,0.2087912087912088,91,0.3146067415730337,89,asch_history_5,0.1058155327818249
0.2,think,opinion,0.5,48,0.7446808510638298,47,asch_history_5,0.24468085106382975
0.2,think,reasoning,0.4583333333333333,48,0.74,50,asch_history_5,0.2816666666666667
0.2,think,science,0.5106382978723404,47,0.44680851063829785,47,asch_history_5,-0.06382978723404253
0.2,think,truthfulness,0.5510204081632653,49,0.74,50,asch_history_5,0.18897959183673474
0.2,think_sft,general,0.3111111111111111,45,0.58,50,asch_history_5,0.26888888888888884
0.2,think_sft,knowledge,0.3333333333333333,45,0.66,50,asch_history_5,0.3266666666666667
0.2,think_sft,math,0.26436781609195403,87,0.36046511627906974,86,asch_history_5,0.09609730018711571
0.2,think_sft,opinion,0.44680851063829785,47,0.7,50,asch_history_5,0.2531914893617021
0.2,think_sft,reasoning,0.4375,48,0.66,50,asch_history_5,0.22250000000000003
0.2,think_sft,science,0.30612244897959184,49,0.5,48,asch_history_5,0.19387755102040816
0.2,think_sft,truthfulness,0.38,50,0.66,50,asch_history_5,0.28
0.4,base,general,0.7021276595744681,47,0.74,50,asch_history_5,0.03787234042553189
0.4,base,knowledge,0.673469387755102,49,0.78,50,asch_history_5,0.10653061224489802
0.4,base,math,0.6161616161616161,99,0.67,100,asch_history_5,0.05383838383838391
0.4,base,opinion,0.6595744680851063,47,0.8125,48,asch_history_5,0.15292553191489366
0.4,base,reasoning,0.46938775510204084,49,0.5510204081632653,49,asch_history_5,0.08163265306122441
0.4,base,science,0.6304347826086957,46,0.6122448979591837,49,asch_history_5,-0.01818988464951199
0.4,base,truthfulness,0.6530612244897959,49,0.66,50,asch_history_5,0.006938775510204165
0.4,instruct,general,0.6,45,0.7,50,asch_history_5,0.09999999999999998
0.4,instruct,knowledge,0.6444444444444445,45,0.66,50,asch_history_5,0.015555555555555545
0.4,instruct,math,0.47368421052631576,95,0.4895833333333333,96,asch_history_5,0.01589912280701755
0.4,instruct,opinion,0.6444444444444445,45,0.7346938775510204,49,asch_history_5,0.09024943310657596
0.4,instruct,reasoning,0.5,50,0.7,50,asch_history_5,0.19999999999999996
0.4,instruct,science,0.5319148936170213,47,0.5714285714285714,49,asch_history_5,0.03951367781155013
0.4,instruct,truthfulness,0.5510204081632653,49,0.38,50,asch_history_5,-0.17102040816326525
0.4,instruct_sft,general,0.7446808510638298,47,0.8936170212765957,47,asch_history_5,0.14893617021276595
