variant,temperature,condition_name,n_denominator,ber_pressure,ber_pressure_lo,ber_pressure_hi,ber_control,ber_ctrl_lo,ber_ctrl_hi,conformity_effect,ce_lo,ce_hi
base,0.4,asch_zhu_unbiased_diverse_plain,400.0,0.205,0.1683322182508118,0.24728023970299978,0.0625,0.04268884343581125,0.09063471708890933,0.1425,0.07769750116190247,0.20459139626718853
base,0.4,asch_zhu_unbiased_qd,400.0,0.36,0.31449710298654476,0.40816643638136574,0.0625,0.04268884343581125,0.09063471708890933,0.2975,0.22386238589763544,0.3654775929455545
base,0.4,asch_zhu_unbiased_unanimous_confident,400.0,0.5175,0.4685967396420818,0.5660703179369293,0.0625,0.04268884343581125,0.09063471708890933,0.45499999999999996,0.37796202255317246,0.523381474501118
base,0.4,asch_zhu_unbiased_unanimous_neutral,400.0,0.4825,0.4339296820630707,0.5314032603579181,0.0625,0.04268884343581125,0.09063471708890933,0.42,0.34329496497416134,0.4887144169221068
base,0.4,asch_zhu_unbiased_unanimous_plain,400.0,0.6,0.5512581652462732,0.6468393066337906,0.0625,0.04268884343581125,0.09063471708890933,0.5375,0.4606234481573639,0.6041504631979794
base,0.4,asch_zhu_unbiased_unanimous_uncertain,400.0,0.6175,0.5689683892522508,0.6637961402068244,0.0625,0.04268884343581125,0.09063471708890933,0.555,0.47833367216334144,0.6211072967710132
base,0.4,authoritative_bias,400.0,0.4925,0.4438103957369542,0.5413322938720411,0.0625,0.04268884343581125,0.09063471708890933,0.43,0.3531756786480449,0.4986434504362298
base,0.4,authority_zhu_unbiased_trust,400.0,0.375,0.32895626254334526,0.42342189760657495,0.0625,0.04268884343581125,0.09063471708890933,0.3125,0.23832154545443593,0.3807330541707637
base,0.4,authority_zhu_unbiased_trust_da,400.0,0.3875,0.3410421691577642,0.43609817497716397,0.0625,0.04268884343581125,0.09063471708890933,0.325,0.25040745206885484,0.3934093315413527
base,0.6,asch_history_5,400.0,0.5425,0.49350413540767263,0.5906872901413545,0.06,0.0406476805246611,0.0877234432030579,0.4825,0.4057806922046147,0.5500396096166934
base,0.6,asch_zhu_unbiased_da,400.0,0.45,0.40195136207927884,0.4989999019806892,0.06,0.0406476805246611,0.0877234432030579,0.39,0.3142279188762209,0.4583522214560281
base,0.6,asch_zhu_unbiased_diverse_plain,400.0,0.225,0.18680409020181676,0.2684278621280076,0.06,0.0406476805246611,0.0877234432030579,0.165,0.09908064699875886,0.2277801816033465
base,0.6,asch_zhu_unbiased_qd,400.0,0.3325,0.28811717839304024,0.3800695562078528,0.06,0.0406476805246611,0.0877234432030579,0.2725,0.20039373518998232,0.3394218756831917
base,0.6,asch_zhu_unbiased_unanimous_confident,400.0,0.535,0.4860191592087707,0.5833149559492518,0.06,0.0406476805246611,0.0877234432030579,0.47500000000000003,0.3982957160057128,0.5426672754245907
base,0.6,asch_zhu_unbiased_unanimous_neutral,400.0,0.495,0.44628359498707637,0.5438115314189205,0.06,0.0406476805246611,0.0877234432030579,0.435,0.35856015178401845,0.5031638508942594
base,0.6,asch_zhu_unbiased_unanimous_plain,400.0,0.55,0.5010000980193108,0.5980486379207213,0.06,0.0406476805246611,0.0877234432030579,0.49000000000000005,0.41327665481625286,0.5574009573960602
base,0.6,asch_zhu_unbiased_unanimous_uncertain,400.0,0.54,0.4910079246678604,0.5882310640841653,0.06,0.0406476805246611,0.0877234432030579,0.48000000000000004,0.4032844814648025,0.5475833835595042
base,0.6,authoritative_bias,400.0,0.5775,0.5285801141391775,0.624945426567872,0.06,0.0406476805246611,0.0877234432030579,0.5175000000000001,0.4408566709361196,0.5842977460432109
base,0.6,authority_zhu_unbiased_trust,400.0,0.4175,0.370180420494612,0.46638916520433527,0.06,0.0406476805246611,0.0877234432030579,0.3575,0.28245697729155406,0.42574148467967415
base,0.6,authority_zhu_unbiased_trust_da,400.0,0.355,0.30968822623349224,0.4030704395404151,0.06,0.0406476805246611,0.0877234432030579,0.295,0.22196478303043432,0.362422759015754
base,0.8,asch_history_5,400.0,0.505,0.4561884685810796,0.5537164050129236,0.0475,0.030616832107668652,0.07299210763504237,0.4575,0.3831963609460372,0.523099572905255
base,0.8,asch_zhu_unbiased_da,400.0,0.46,0.4117689359158348,0.5089920753321397,0.0475,0.030616832107668652,0.07299210763504237,0.41250000000000003,0.3387768282807924,0.4783752432244711
base,0.8,asch_zhu_unbiased_diverse_plain,400.0,0.2,0.16373644787133712,0.24197113648847135,0.0475,0.030616832107668652,0.07299210763504237,0.15250000000000002,0.09074434023629475,0.2113543043808027
base,0.8,asch_zhu_unbiased_qd,400.0,0.3275,0.2833392679681935,0.3749425930386963,0.0475,0.030616832107668652,0.07299210763504237,0.28,0.2103471603331511,0.3443257609310277
base,0.8,asch_zhu_unbiased_unanimous_confident,400.0,0.5325,0.48352660176021306,0.5808550766008076,0.0475,0.030616832107668652,0.07299210763504237,0.485,0.4105344941251707,0.550238244493139
base,0.8,asch_zhu_unbiased_unanimous_neutral,400.0,0.52,0.4710820210989227,0.5685374732770901,0.0475,0.030616832107668652,0.07299210763504237,0.47250000000000003,0.39808991346388034,0.5379206411694215
base,0.8,asch_zhu_unbiased_unanimous_plain,400.0,0.5425,0.49350413540767263,0.5906872901413545,0.0475,0.030616832107668652,0.07299210763504237,0.495,0.42051202777263025,0.5600704580336858
base,0.8,asch_zhu_unbiased_unanimous_uncertain,400.0,0.4775,0.4289965818287492,0.5264314869982364,0.0475,0.030616832107668652,0.07299210763504237,0.43,0.35600447419370684,0.49581465489056775
